lane,length
:tl_28_7_0,35.12
:tl_28_7_1,35.12
:tl_28_9_0,20.6
:tl_29_0_0,11.85
:tl_29_1_0,28.17
:tl_29_2_0,35.31
:tl_29_2_1,35.31
:tl_29_4_0,22.01
:tl_29_4_1,19.21
:tl_29_6_0,20.27
:tl_29_7_0,17.61
:tl_29_8_0,19.97
:tl_29_9_0,17.38
:tl_2_0_0,15.36
:tl_2_1_0,12.69
:tl_2_1_1,13.67
:tl_2_3_0,23.05
:tl_2_3_1,23.05
:tl_2_3_2,23.05
:tl_2_6_0,15.8
:tl_2_7_0,20.5
:tl_2_7_1,15.11
:tl_2_9_0,3.65
:tl_30_0_0,27.0
:tl_30_0_1,27.0
:tl_30_0_2,27.0
:tl_30_3_0,45.92
:tl_30_3_1,45.92
